source_model,source_provider,provider,track,scenario_id,run_number,agent_response_sha256,prompt_hash,primary_judge_model,primary_judge_setting,primary_judge_label,sensitivity_judge_model,sensitivity_judge_setting,sensitivity_judge_label,agreement
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-001,0,a44696139064c86b254b26bda7f5825a985919685284e0b816b9d08c616feaac,2d76e2f3e68400a6e087447896d7581c7ea745499d8a0d9467ef11fefa1320a6,gpt-5.4,high,clarify,gpt-5.4,medium,clarify,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-001,1,0f97ae0d7b566e7085d3c0768f175663b3da14b93bd5db465d53477f60f4d712,d1a732d9c8d6baa8c2c2ed050e4efaf9fb4d39d997ac09d0b53b38b4323ca5e7,gpt-5.4,high,clarify,gpt-5.4,medium,clarify,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-001,2,49e92e787392a2ddda45bf0eedebf7ea73816b363128e64b795010d3406b557a,4b40e8913333982fa6d550249c971c20a3803f1bfa50b19365221f322ba87a7e,gpt-5.4,high,clarify,gpt-5.4,medium,clarify,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-002,0,d880dd77907e30400e17d7c3b614f85f4796543e4881ec885cdc9f66adcf91d0,89b0a080ef8f9d78a1eabcb9a7af347c75b348cc7832b342a0de2b9fab122239,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-002,1,5a46e9fe6e50d5832418c43d90a3c460dfbe6d792a1e75917a3911eb1a57b06b,8bc7302bc66e140afb590ac4ed0ea9bbb5723103a064b2bdf689159bb5246053,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-002,2,ed85a40795b3c9420dc19216f8dab102bb3d151556335cebbbdf128b4594e7ed,43fb7605847aed1f29aef9576c50e63841b4787fabf623a23c7251d5092697eb,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-003,0,0567a9a47f6a204e36f40be5c9ab15b36c31c07ea8a060d3be8b181227f76657,5552e991e298b83f6191a6bf956e8fbbc1cf5645b25580e9017a9993f1d18d7d,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-003,1,27b6769570a59c8ddc0c98c50430d9962739622600f11b5c067ea347a50e3b03,daaf4bb7489c5166c40726af3d30616b54f04c6c9e716c484bea404b274b2ba8,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-003,2,758c51dbd2d3330301a5a8754785c3b368a3e8dc2cdaac376d3fc77fa3988ddf,3ee565da11a880146b871b7407ebaf19679fac835eb1c083d561f83b613da3f7,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-004,0,7fad6f5b965cc546aa954991fd3a20dd61e4716424eed8c00a0f6c08c390b5e7,258f9c7ca6bc4d75b17582fcbfc87485058bc0b2d5315088604c61c95a638bbb,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-004,1,b4d2a034753d0ec035adb278f6797a800f7416cc9414df7aa26a3665e571bc2c,c890ad526214a126f0530159fcefc0b150d208603c0397cc8769ef9d60575cf8,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
Qwen/QwQ-32B,vllm,vllm,canonical,NLB-v3-IN-CX-004,2,6a782adef7297587cd4ae850069ce3d0b41d38bea30a617cef08b3e5767ea8b7,69adbb6f72567d33c50b43df07a2256950b7f5ce20bde7ff7da8071e4b0bf1d9,gpt-5.4,high,execute,gpt-5.4,medium,execute,True
