scenario_id,A-1,A-2,A-3,A-4,B-1,B-2
NLB-v3-AM-CX-005,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,feasible
NLB-v3-AM-CX-006,feasible,feasible,ambiguous,ambiguous,feasible,ambiguous
NLB-v3-AM-CX-007,feasible,ambiguous,feasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-CX-010,ambiguous,ambiguous,ambiguous,ambiguous,feasible,infeasible
NLB-v3-AM-CX-011,ambiguous,infeasible,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-CX-013,feasible,feasible,infeasible,ambiguous,ambiguous,feasible
NLB-v3-AM-CX-014,ambiguous,feasible,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-CX-015,ambiguous,infeasible,feasible,infeasible,feasible,ambiguous
NLB-v3-AM-CX-016,ambiguous,ambiguous,ambiguous,ambiguous,feasible,feasible
NLB-v3-AM-CX-018,ambiguous,feasible,feasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-CX-019,infeasible,feasible,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-CX-020,feasible,ambiguous,ambiguous,ambiguous,ambiguous,feasible
NLB-v3-AM-DI-005,feasible,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-DI-006,feasible,ambiguous,feasible,ambiguous,ambiguous,infeasible
NLB-v3-AM-DI-007,infeasible,ambiguous,infeasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-DI-008,feasible,infeasible,ambiguous,ambiguous,ambiguous,feasible
NLB-v3-AM-DI-009,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,infeasible
NLB-v3-AM-DI-010,feasible,feasible,ambiguous,ambiguous,feasible,feasible
NLB-v3-AM-DI-011,ambiguous,ambiguous,infeasible,ambiguous,feasible,ambiguous
NLB-v3-AM-DI-012,feasible,ambiguous,ambiguous,ambiguous,feasible,infeasible
NLB-v3-AM-DI-013,feasible,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-DI-015,ambiguous,feasible,infeasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-DI-016,ambiguous,ambiguous,infeasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-DI-019,infeasible,ambiguous,infeasible,ambiguous,infeasible,ambiguous
NLB-v3-AM-EX-002,feasible,ambiguous,feasible,ambiguous,ambiguous,feasible
NLB-v3-AM-EX-003,feasible,ambiguous,ambiguous,ambiguous,ambiguous,feasible
NLB-v3-AM-EX-005,feasible,ambiguous,ambiguous,ambiguous,feasible,feasible
NLB-v3-AM-EX-006,ambiguous,ambiguous,ambiguous,ambiguous,feasible,feasible
NLB-v3-AM-EX-009,ambiguous,ambiguous,ambiguous,ambiguous,ambiguous,feasible
NLB-v3-AM-EX-011,ambiguous,feasible,ambiguous,ambiguous,ambiguous,ambiguous
NLB-v3-AM-EX-012,ambiguous,ambiguous,feasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-EX-013,feasible,ambiguous,feasible,ambiguous,ambiguous,ambiguous
NLB-v3-AM-EX-015,feasible,feasible,feasible,feasible,feasible,feasible
NLB-v3-AM-EX-016,feasible,ambiguous,ambiguous,ambiguous,feasible,ambiguous
