scenario_id,flags,instruction,constraints_present,fixture_entities,claude_verdict,claude_note,author_verdict(COVERED/CONFIRMED_GAP/AMBIGUOUS),author_note,split,cell,yaml_path,final
NLEB-DI-AT-035,duration_mention_without_duration_constraint,The first clip is running too fast — get it back to normal speed. / Now kill that slide transition between the last two clips.,"[required] attribute_equals({""entity"": ""video_clip_1"", ""field"": ""speed"", ""value"": 1.0}) 
[required] entity_not_exists({""entity"": ""transition_1""}) 
[required] unchanged_except({""changed"": [""video_clip_1"", ""transition_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"No duration demand in prose (heuristic false alarm on transition wording); 'back to normal speed' = attribute_equals(vc1, speed, 1.0); removal = entity_not_exists(transition_1). Covered.",COVERED,"I did not initially know video_clip_1 was at 2.5x speed, but confirmed it is correct. I wondered whether deleting transition_1 amounts to modifying video_clip_2 and video_clip_3; accepted the explanation that it does not. The phrase ""slide transition"" seems to require inferring that video clips are meant. I thought ""the last two clips"" was ambiguous; here it was decidable because there is only one video track, but I am unsure what to do when clips at the same time sit on several tracks.",test,diagnosis/atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-035.yaml,
NLEB-DI-AT-038,duration_mention_without_duration_constraint,"On timeline 1, the first clip has gone invisible — restore its opacity first. / Now the last clip on timeline 1 looks blurry — clean that up.","[required] attribute_equals({""entity"": ""vc_1"", ""field"": ""transform.opacity"", ""value"": 1.0}) 
[required] entity_not_exists({""type"": ""effect"", ""parent"": ""vc_3"", ""effect_type"": ""blur""}) 
[required] unchanged_except({""changed"": [""vc_1"", ""vc_3""]})","V1: vc_1(0-10s), vc_2(10-25s), vc_3(25-40s) | A1: ac_1(0-10s), ac_2(10-25s), ac_3(25-40s) | Caption Track 1: cc_1(1-4s), cc_2(5-9s), cc_3(12-18s), cc_4(30-35s) | V1: vc_4(0-25s), vc_5(25-40s) | A1: ac_4(0-25s), ac_5(25-40s) | V1: vc_6(0-15s), vc_7(15-25s) | A1: ac_6(0-15s), ac_7(15-25s)",COVERED,"No duration mention exists (false alarm); 'restore its opacity' = attribute_equals(vc_1, opacity, 1.0); 'blurry — clean up' = entity_not_exists(blur effect on vc_3). Covered.",COVERED,"I do not know what the two clips' prior attribute values were, but I think this is right as to intent.",test,diagnosis/atomic,feasible/diagnosis/atomic/test/NLEB-DI-AT-038.yaml,
NLEB-DI-CU-002,duration_mention_without_duration_constraint,The third clip is completely invisible — can you bring it back? / Now scale the last video clip up to 1.1. / And rotate the shortest video clip by 5 degrees — keep the opacity fix from the first turn.,"[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 1.0}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.scale_x"", ""value"": 1.1}) 
[required] attribute_equals({""entity"": ""video_clip_1"", ""field"": ""transform.rotation"", ""value"": 5.0}) 
[required] unchanged_except({""changed"": [""video_clip_3"", ""video_clip_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"shortest video clip' is target selection (vc1 per fixture), enforced by attribute_equals(video_clip_1, rotation, 5.0); no separate duration demand. Covered.",CONFIRMED_GAP,"The condition scaling scale_y by 1.1 seems to be missing, since one normally expects scaling to preserve the aspect ratio. That said, ""scale up to"" means fixing to 1.1x of the original rather than 1.1x of the current value, so it is correct here; but a prompt asking for 1.1x of the current value when the original scale is not 1 would need a matching condition.",dev,diagnosis/cumulative,feasible/diagnosis/cumulative/dev/NLEB-DI-CU-002.yaml,
NLEB-DI-CU-030,duration_mention_without_duration_constraint,A V2 clip is upside down — can you flip it back? / Now lower the BGM by 3 dB. / And add a blur effect to the last V1 clip — keep everything from before.,"[required] attribute_equals({""entity"": ""video_clip_4"", ""field"": ""transform.rotation"", ""value"": 0.0}) 
[required] attribute_changed({""entity"": ""audio_clip_4"", ""field"": ""audio.volume"", ""direction"": ""decrease""}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""blur""}) 
[required] unchanged_except({""changed"": [""video_clip_4"", ""audio_clip_4"", ""video_clip_3""]})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,"No duration in prose (flag misfired on '3 dB'), but 'lower the BGM by 3 dB' magnitude is normative and unchecked: attribute_changed is direction-only; fixture-derivable target value.",CONFIRMED_GAP,"The 3 dB condition seems to be missing. If the source footage really is inverted, the request could mean rotating 180 degrees or flipping vertically. ""Upside down"" could be either a vertical flip or a 180-degree rotation, which is ambiguous, but the editors' view is that the word ""flip"" makes a vertical flip the right reading. However, the editors also note there are too many ways to implement a flip (rotation about an axis in 3D, a flip function, scale_x=1 & scale_y=-1) to be sure which condition should check it. Photoshop offers flip horizontal, flip vertical, and rotate all three.",test,diagnosis/cumulative,feasible/diagnosis/cumulative/test/NLEB-DI-CU-030.yaml,
NLEB-DI-DE-039,duration_mention_without_duration_constraint,"The last V1 clip is upside down and squeezed narrow — flip it back and restore its width, then add a saturation effect, and finally boost its matching audio clip by 3 dB.","[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.rotation"", ""value"": 0.0}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.scale_x"", ""value"": 1.0}) 
[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""saturation""}) 
[required] attribute_changed({""entity"": ""audio_clip_3"", ""field"": ""audio.volume"", ""direction"": ""increase""})","V1: video_clip_1(0-8s), caption_1(0.5-3s), video_clip_2(8-18s), caption_2(9-12s), video_clip_3(18-30s) | V2 (B-Roll): video_clip_4(4-10s), video_clip_5(20-25s) | A1: audio_clip_1(0-8s), audio_clip_2(8-18s), audio_clip_3(18-30s) | A2 (Music): audio_clip_4(0-30s)",CONFIRMED_GAP,No duration in prose (flag misfired on '3 dB'); 'boost its matching audio clip by 3 dB' magnitude unchecked — attribute_changed(audio_clip_3) is direction-only. Width restore IS covered (scale_x=1.0).,CONFIRMED_GAP,Same view as the previous scenario regarding 3 dB and flip.,test,diagnosis/dependent,feasible/diagnosis/dependent/test/NLEB-DI-DE-039.yaml,
NLEB-EX-AT-009,duration_mention_without_duration_constraint,Add a cross-dissolve transition between video_clip_1 and video_clip_2 with duration 1.0s. / Set video_clip_3 opacity to 0.7.,"[required] has_transition({""between"": [""video_clip_1"", ""video_clip_2""], ""type"": ""cross_dissolve""}) 
[required] attribute_equals({""entity"": ""video_clip_3"", ""field"": ""transform.opacity"", ""value"": 0.7}) 
[required] unchanged_except({""changed"": [""video_clip_1"", ""video_clip_2"", ""video_clip_3"", ""$new_transition_1""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",CONFIRMED_GAP,"with duration 1.0s' normative; has_transition checks type+between only, no duration check on $new_transition_1. duration_equals available.",CONFIRMED_GAP,Missing a condition on the transition's duration (1 second).,dev,explicit/atomic,feasible/explicit/atomic/dev/NLEB-EX-AT-009.yaml,
NLEB-EX-CO-010,duration_mention_without_duration_constraint,"Add a cross-dissolve transition between vc_1 and vc_2 with duration 1.0s, and set vc_2 opacity to 0.95.","[required] has_transition({""between"": [""vc_1"", ""vc_2""], ""type"": ""cross_dissolve""}) 
[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""transform.opacity"", ""value"": 0.95}) 
[required] unchanged_except({""changed"": [""vc_1"", ""vc_2""]})","V1: vc_1(0-5s), vc_2(5-10s) | A1: ac_1(0-5s), ac_2(5-10s)",CONFIRMED_GAP,with duration 1.0s' normative; has_transition checks type+between only — transition duration unchecked. duration_equals available.,CONFIRMED_GAP,Missing a condition on the transition's duration (1 second).,dev,explicit/compound,feasible/explicit/compound/dev/NLEB-EX-CO-010.yaml,
NLEB-EX-CO-032,duration_mention_without_duration_constraint,"Add a cross-dissolve transition between vc_1 and vc_2 lasting 1.2s, add a saturation effect to vc_2, and set vc_2 scale to 0.95.","[required] has_transition({""between"": [""vc_1"", ""vc_2""], ""type"": ""cross_dissolve""}) 
[required] has_effect({""entity"": ""vc_2"", ""effect_type"": ""saturation""}) 
[required] attribute_equals({""entity"": ""vc_2"", ""field"": ""transform.scale_x"", ""value"": 0.95}) 
[required] unchanged_except({""changed"": [""vc_1"", ""vc_2""]})","V1: vc_1(0-5s), vc_2(5-10s) | A1: ac_1(0-5s), ac_2(5-10s)",CONFIRMED_GAP,"lasting 1.2s' transition duration normative; has_transition checks type only, no duration_equals/attribute_equals on transition duration. Checkable, unchecked.",CONFIRMED_GAP,Missing conditions on the transition's duration (1.2 seconds) and on scale_y.,test,explicit/compound,feasible/explicit/compound/test/NLEB-EX-CO-032.yaml,
NLEB-ST-AT-013,duration_mention_without_duration_constraint,Add a blur effect to the last video clip on the main video track.,"[required] has_effect({""entity"": ""video_clip_3"", ""effect_type"": ""blur""}) 
[required] unchanged_except({""changed"": [""video_clip_3""]})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"No duration demand in prose; 'last video clip' is a selector resolved to video_clip_3, enforced by has_effect(video_clip_3,blur)+unchanged_except. Heuristic false alarm.",COVERED,,test,state/atomic,feasible/state/atomic/test/NLEB-ST-AT-013.yaml,
NLEB-ST-AT-015,duration_mention_without_duration_constraint,Remove the video clip that starts last on the timeline.,"[required] entity_not_exists({""entity"": ""video_clip_3""}) 
[required] entity_count_changed({""type"": ""video_clip"", ""direction"": ""decrease""})","V1: video_clip_1(0-5s), video_clip_2(5-15s), video_clip_3(15-20s), caption_1(2-5s) | A1: audio_clip_1(0-5s), audio_clip_2(5-15s), audio_clip_3(15-20s) | A2 (BGM): audio_clip_4(0-20s)",COVERED,"starts last' is a selector, not a duration demand; resolved to video_clip_3 and enforced by entity_not_exists(video_clip_3)+entity_count_changed(decrease). False alarm.",CONFIRMED_GAP,"I take a request to delete a video clip to normally include deleting the audio clip linked to it. So if it is linked to audio_clip_3, that should be deleted too. Also, checking via unchanged_except would be a stronger necessary-and-sufficient condition than checking that the clip count on the video track decreased.",test,state/atomic,feasible/state/atomic/test/NLEB-ST-AT-015.yaml,
